"id","e","n"
"117310","1202402.65","7173638.48"
"117311","1202402.65","7173673.165"
"117312","1202402.65","7173706.71"
"117313","1202402.65","7173740.255"
"117314","1202402.65","7173774.93"
"117315","1202402.65","7173809.614"
"117316","1202402.65","7173844.289"
"117317","1202402.65","7173871.385"
"117318","1202432.35","7173921.428"
"117319","1202432.35","7173948.515"
"117320","1202432.35","7173983.201"
"117321","1202432.35","7174017.878"
"117322","1202432.35","7174052.554"
"117323","1202432.35","7174086.1"
"117324","1202432.35","7174119.656"
"117325","1202432.35","7174154.332"
"117326","1202432.35","7174189.009"
"117327","1202432.35","7174223.695"
"117328","1202432.35","7174250.782"
"117329","1202432.35","7173542.032"
"117308","1202402.65","7173569.131"
"117405","1202521.45","7173871.391"
"117406","1202551.15","7173921.432"
"117407","1202551.15","7173948.519"
"117408","1202551.15","7173983.204"
"117409","1202551.15","7174017.879"
"117410","1202551.15","7174052.555"
"117411","1202551.15","7174086.1"
"117412","1202551.15","7174119.655"
"117413","1202551.15","7174154.331"
"117414","1202551.15","7174189.006"
"117415","1202551.15","7174223.691"
"117416","1202551.15","7174250.778"
"117417","1202551.15","7173542.025"
"117419","1202551.15","7173603.8"
"117420","1202551.15","7173638.476"
"117421","1202551.15","7173673.163"
"117422","1202551.15","7173706.71"
"117423","1202551.15","7173740.257"
"117424","1202551.15","7173774.934"
"117425","1202551.15","7173809.62"
"117426","1202551.15","7173844.297"
"117427","1202551.15","7173871.395"
"117429","1202580.85","7173948.517"
"117430","1202580.85","7173983.203"
"117431","1202580.85","7174017.878"
"117432","1202580.85","7174052.554"
"117433","1202580.85","7174086.1"
"117434","1202580.85","7174119.656"
"117435","1202580.85","7174154.332"
"117436","1202580.85","7174189.007"
"117437","1202580.85","7174223.693"
"117438","1202580.85","7174250.78"
"117439","1202580.85","7173542.031"
"117441","1202580.85","7173603.803"
"117442","1202580.85","7173638.479"
"117443","1202580.85","7173673.164"
"117444","1202580.85","7173706.71"
"117445","1202580.85","7173740.256"
"117446","1202580.85","7173774.931"
"117447","1202580.85","7173809.617"
"117448","1202580.85","7173844.292"
"117449","1202580.85","7173871.389"
"117450","1202610.55","7173921.427"
"117451","1202610.55","7173948.514"
"117452","1202610.55","7173983.2"
"117453","1202610.55","7174017.877"
"117454","1202610.55","7174052.553"
"117455","1202610.55","7174086.1"
"117456","1202610.55","7174119.657"
"117457","1202610.55","7174154.333"
"117458","1202610.55","7174189.01"
"117459","1202610.55","7174223.696"
"117460","1202610.55","7174250.783"
"117461","1202610.55","7173542.024"
"117463","1202610.55","7173603.799"
"117464","1202610.55","7173638.476"
"117465","1202610.55","7173673.163"
"117466","1202610.55","7173706.71"
"117467","1202610.55","7173740.257"
"117468","1202610.55","7173774.934"
"117440","1202580.85","7173569.128"
"117418","1202551.15","7173569.123"
"117428","1202580.85","7173921.43"
"117470","1202610.55","7173844.299"
"117471","1202610.55","7173871.396"
"117472","1202640.25","7173921.426"
"117474","1202640.25","7173983.2"
"117475","1202640.25","7174017.876"
"117476","1202640.25","7174052.553"
"117477","1202640.25","7174086.1"
"117478","1202640.25","7174119.657"
"117479","1202640.25","7174154.334"
"117480","1202640.25","7174189.01"
"117481","1202640.25","7174223.697"
"117482","1202640.25","7174250.784"
"117483","1202640.25","7173542.028"
"117485","1202640.25","7173603.801"
"117486","1202640.25","7173638.477"
"117487","1202640.25","7173673.164"
"117488","1202640.25","7173706.71"
"117489","1202640.25","7173740.256"
"117490","1202640.25","7173774.933"
"117491","1202640.25","7173809.619"
"117492","1202640.25","7173844.295"
"117493","1202640.25","7173871.392"
"117494","1202669.95","7173921.422"
"117495","1202669.95","7173948.51"
"117496","1202669.95","7173983.198"
"117497","1202669.95","7174017.875"
"117498","1202669.95","7174052.553"
"117499","1202669.95","7174086.1"
"117500","1202669.95","7174119.657"
"117501","1202669.95","7174154.335"
"117502","1202669.95","7174189.012"
"117503","1202669.95","7174223.7"
"117504","1202669.95","7174250.788"
"117507","1202669.95","7173603.803"
"117508","1202669.95","7173638.479"
"117509","1202669.95","7173673.164"
"117510","1202669.95","7173706.71"
"117511","1202669.95","7173740.256"
"117512","1202669.95","7173774.931"
"117513","1202669.95","7173809.617"
"117514","1202669.95","7173844.293"
"117515","1202669.95","7173871.389"
"117516","1202699.65","7173921.421"
"117517","1202699.65","7173948.509"
"117518","1202699.65","7173983.197"
"117519","1202699.65","7174017.874"
"117520","1202699.65","7174052.552"
"117521","1202699.65","7174086.1"
"117522","1202699.65","7174119.658"
"117523","1202699.65","7174154.336"
"117524","1202699.65","7174189.013"
"117525","1202699.65","7174223.701"
"117526","1202699.65","7174250.789"
"117527","1202699.65","7173542.029"
"117529","1202699.65","7173603.802"
"117530","1202699.65","7173638.478"
"117531","1202699.65","7173673.164"
"117532","1202699.65","7173706.71"
"117533","1202699.65","7173740.256"
